"Year","Site_code","Location","Sample_location","Leaf","Rep","Days","T_mu","DD","k_microbe","k_microbe_day","k_microbe_dd","k_invert","k_invert_day","k_invert_dd"
2013,"BUT","DS","3_D","alder",1,43,7.3906976744186,317.8,0.455949013540156,0.0106034654311664,0.00143470425909426,0.826463773484362,0.0192200877554503,0.00260057826772927
2013,"BUT","DS","3_D","alder",2,43,7.3906976744186,317.8,0.311554508658263,0.00724545368972704,0.000980347730202211,0.728345917525838,0.0169382771517637,0.00229183737421598
2013,"BUT","DS","3_D","alder",3,43,7.3906976744186,317.8,0.337087810663428,0.00783925141077739,0.00106069166350984,0.42444100956717,0.00987072115272488,0.00133556013079663
2013,"BUT","DS","3_D","alder",4,43,7.3906976744186,317.8,0.376653410869619,0.00875938164813067,0.0011851900908421,0.533640301532162,0.0124102395705154,0.001679170237672
2013,"BUT","DS","3_D","alder",5,43,7.3906976744186,317.8,0.394753452513237,0.00918031284914504,0.00124214428103599,0.946827455734237,0.0220192431566102,0.00297931861464518
2013,"BUT","DS","3_D","alder",6,43,7.3906976744186,317.8,0.427238907657725,0.00993578855017965,0.00134436408954602,1.03172689952072,0.0239936488260633,0.00324646601485438
2013,"BUT","US1","2_U1","alder",1,43,6.47906976744186,278.6,0.278493646397375,0.00647659642784592,0.000999618256989859,0.802784252985032,0.01866940123221,0.00288149408824491
2013,"BUT","US1","2_U1","alder",2,43,6.47906976744186,278.6,0.319993377304127,0.0074417064489332,0.00114857637223305,1.48645268959043,0.0345686671997775,0.00533543678962826
2013,"BUT","US1","2_U1","alder",3,43,6.47906976744186,278.6,0.350103178775498,0.00814193439012786,0.00125665175439877,0.566395474920801,0.0131719877888558,0.0020330060119196
2013,"BUT","US1","2_U1","alder",4,43,6.47906976744186,278.6,0.28256697178501,0.0065713249252328,0.00101423895113069,2.08944877315608,0.0485918319338623,0.00749981612762412
2013,"BUT","US1","2_U1","alder",5,43,6.47906976744186,278.6,0.394753452513236,0.00918031284914503,0.00141691835072949,0.500917545541295,0.0116492452451464,0.00179798113977493
2013,"BUT","US1","2_U1","alder",6,43,6.47906976744186,278.6,0.341407471807944,0.00793970864669638,0.00122543959730059,0.52949091798535,0.0123137422787291,0.00190054170131138
2013,"BUT","US2","1_U2","alder",1,43,6.73023255813953,289.4,0.381147800457458,0.00886390233621995,0.00131702764498085,2.71359038147783,0.0631067530576238,0.00937660809080106
2013,"BUT","US2","1_U2","alder",2,43,6.73023255813953,289.4,0.307361630398227,0.00714794489298202,0.00106206506702912,2.92122974625607,0.0679355754943272,0.0100940903464273
2013,"BUT","US2","1_U2","alder",3,43,6.73023255813953,289.4,0.242561637171311,0.00564096830630956,0.000838153549313446,0.580904325279177,0.0135094029134692,0.00200727133821416
2013,"BUT","US2","1_U2","alder",4,43,6.73023255813953,289.4,0.299028248839082,0.00695414532183913,0.00103326969191113,0.804047876593387,0.0186987878277532,0.00277832714786934
2013,"BUT","US2","1_U2","alder",5,43,6.73023255813953,289.4,0.299028248839082,0.00695414532183913,0.00103326969191113,1.61497809280972,0.0375576300653422,0.00558043570424919
2013,"BUT","US2","1_U2","alder",6,43,6.73023255813953,289.4,0.262364264467491,0.00610149452249979,0.00090658004308048,1.84859294399122,0.0429905335811912,0.00638767430542924
2013,"COL","DS","3_D","alder",1,35,5.76571428571429,201.8,0.294887456173051,0.0084253558906586,0.00146128570947994,0.0449973659307357,0.00128563902659245,0.00022298000956757
2013,"COL","DS","3_D","alder",2,35,5.76571428571429,201.8,0.303186258987746,0.00866246454250704,0.00150240960846257,0.0704224642965458,0.00201207040847274,0.000348971577287145
2013,"COL","DS","3_D","alder",3,35,5.76571428571429,201.8,0.238647737850175,0.00681850679571929,0.00118259533126945,0.631111789640493,0.0180317654182998,0.00312741223805992
2013,"COL","DS","3_D","alder",4,35,5.76571428571429,201.8,0.234749097434518,0.00670711706955764,0.00116327600314429,0,0,0
2013,"COL","DS","3_D","alder",5,35,5.76571428571429,201.8,0.254396094818314,0.00726845985195183,0.00126063476124041,0.179126665897435,0.00511790473992673,0.00088764452872862
2013,"COL","DS","3_D","alder",6,35,5.76571428571429,201.8,0.250435693602217,0.00715530553149192,0.00124100938355905,0.228156093137754,0.00651874551822155,0.00113060502050423
2013,"COL","US1","2_U1","alder",1,35,5.77714285714286,202.2,0.307361630398227,0.00878176086852077,0.00152008719286957,0.222463047715305,0.00635608707758014,0.00110021289671269
2013,"COL","US1","2_U1","alder",2,35,5.77714285714286,202.2,0.286656957036536,0.00819019877247245,0.00141769019305903,0.0581599964240287,0.00166171418354368,0.000287635986271161
2013,"COL","US1","2_U1","alder",3,35,5.77714285714286,202.2,0.341407471807944,0.00975449919451268,0.00168846425226481,0.163039627244504,0.00465827506412869,0.000806328522475293
2013,"COL","US1","2_U1","alder",4,35,5.77714285714286,202.2,0.2269971206302,0.00648563201800571,0.001122636600545,0.0844773047414022,0.00241363727832578,0.000417790824636015
2013,"COL","US1","2_U1","alder",5,35,5.77714285714286,202.2,0.262364264467491,0.00749612184192831,0.00129754829113497,0.14399143227381,0.00411404092210885,0.000712123799573738
2013,"COL","US1","2_U1","alder",6,35,5.77714285714286,202.2,0.278493646397375,0.00795696132563928,0.00137731773688118,0.558935284336518,0.0159695795524719,0.00276426945764846
2013,"COL","US2","1_U2","alder",1,35,5.73142857142857,200.6,0.215480678568641,0.00615659081624687,0.00107418085029233,0.613594548857992,0.017531272824514,0.00305879635522429
