"","Site_loc","SPEAR","median_msPAFraMix_all","median_msPAFraMix_HM","median_msPAFraMix_Oth","median_msPAFraMix_PB","median_msPAFraMix_org","median_msPAFraMix_F","median_msPAFraMix_H","median_msPAFraMix_I","median_sumTU_HM_gm","median_sumTU_Oth_gm","median_sumTU_PB_gm","median_sumTU_all_gm","median_sumTU_org_gm","median_sumTU_F_gm","median_sumTU_H_gm","median_sumTU_I_gm","median_sumTU_HM_med","median_sumTU_Oth_med","median_sumTU_PB_med","median_sumTU_all_med","median_sumTU_org_med","median_sumTU_F_med","median_sumTU_H_med","median_sumTU_I_med","median_sumTU_HM.DM_gm","median_sumTU_Oth.DM_gm","median_sumTU_PB.DM_gm","median_sumTU_all.DM_gm","median_sumTU_org.DM_gm","median_sumTU_F.DM_gm","median_sumTU_H.DM_gm","median_sumTU_I.DM_gm","median_sumTU_HM.DM_med","median_sumTU_Oth.DM_med","median_sumTU_PB.DM_med","median_sumTU_all.DM_med","median_sumTU_org.DM_med","median_sumTU_F.DM_med","median_sumTU_H.DM_med","median_sumTU_I.DM_med","loc"
"21","KeDS",19.77033214,0.0014834445,NA,0.0002936685,0.001190125,0.0014834445,9.7775e-07,1.052735e-05,0.001175798,0,6.00990575184884e-05,0.000763701223232435,0.000823800280750923,0.000823800280750923,8.97550574814267e-05,7.62052201074463e-05,0.000535326033354814,0,5.1703134751747e-05,0.000929118300491337,0.000980821435243085,0.000980821435243085,0.000152314349218024,6.17474597642784e-05,0.000644967100261629,0,0.00061663096045623,0.00887296147038194,0.00948959243083817,0.00948959243083817,3.3443991194462e-05,8.25743956131109e-05,0.00872374593963185,0,0.00061280717659943,0.00979688475145019,0.0104096919280496,0.0104096919280496,2.8216103434983e-05,8.07603919719506e-05,0.00966233979934273,"DS"
"22","KeUS1",23.5023227,0.000542127,NA,1e-10,0.0005421269,0.000542127,3.519e-07,2.57635e-06,0.00053840965,0,1.82845771068271e-06,0.000138831188989573,0.000140659646700256,0.000140659646700256,5.38217585994885e-05,6.47488628167603e-05,2.0260567573324e-05,0,1.4420710789986e-06,0.00028430902092729,0.000285751092006289,0.000285751092006289,9.01135172806784e-05,6.08730601691154e-05,0.000133322443477496,0,1.55623091562534e-06,0.00010703538562334,0.000108591616538965,0.000108591616538965,1.79330389030524e-05,8.88338567391362e-05,2.68489981151547e-07,0,1.11736752921372e-06,0.000102805806175112,0.000103923173704326,0.000103923173704326,1.41011901161426e-05,8.84928585240512e-05,2.11757534918664e-07,"S1"
"23","KnDS",19.11649429,0.0003549505,1.01809e-05,0.0002105125,0.0001332425,0.0002671035,2.5e-10,2.704635e-05,8.68979e-05,0.00805076905373617,3.50812863122228e-05,4.97089348323063e-05,0.00812335487833844,7.42719272518551e-05,5.0999248147532e-06,2.01524270690968e-05,2.2044935690082e-05,0.0103772763695017,3.03826519500891e-05,5.69052058379713e-05,0.0104425892480725,7.19428277961086e-05,8.77071034993512e-06,1.2335637187343e-05,3.42647058823529e-05,0.034101593880531,2.4952743343652e-05,0.00054033446751374,0.0375312914299928,0.000563753011520355,3.1370981838512e-05,8.14962128783596e-06,0.000472294021085891,0.0312771599951772,2.24332518154469e-05,0.000577312803066985,0.0354332728117496,0.000598276246263453,2.06347786935287e-05,7.94666184137638e-06,0.000523261273462133,"DS"
"24","KnUS1",31.61442349,0.000113416,2.74725e-06,0,4.750965e-05,4.760325e-05,0,3.30235e-06,4.459215e-05,0.00442687928911353,3.39286950875755e-07,1.99497048932262e-05,0.00448051262458446,2.01586906581926e-05,1.12544962436289e-06,8.3484860512314e-06,5.43236572493407e-07,0.00579425094985074,3.10903214639749e-07,2.20388523319138e-05,0.00581327061345849,2.22273380477084e-05,2.62649485606504e-06,3.27363158461819e-06,1.07843137254902e-05,0.0175463851788084,1.8487093648803e-07,1.58339686720395e-05,0.0176074050441327,1.67899666442634e-05,8.67536531263628e-06,2.25968807953343e-06,5.02179456983397e-09,0.0165919502049674,1.64678456606991e-07,1.04149258447391e-05,0.0168907517598461,1.13189110344262e-05,4.79860882788098e-06,2.74702824180587e-06,5.00454959053685e-09,"S1"
"25","MaDS",26.02196869,0.000368241,9.60745e-06,0.000156035,0.0001978875,0.00031526,5.1e-09,9.30175e-06,0.000194918,0.00941240622027862,2.64558060362659e-05,0.000389817510224346,0.0099416634849937,0.000416101910137261,2.07898670442399e-05,9.53951538049539e-06,0.000332851645206141,0.0122948966184513,2.33399013079157e-05,0.000359891812079144,0.012736515910396,0.000382027590790347,2.61676901954503e-05,5.97855042645767e-06,0.0003015930622941,0.0395575568527739,2.05933886497171e-05,0.00133454356653102,0.0413088469035327,0.00166368541609729,8.66822471620537e-05,4.52304195403315e-06,0.00121663241713467,0.0368005593960872,1.85482986910001e-05,0.00149428500583803,0.0387414293033287,0.00182169453535238,7.35329753136993e-05,4.72760690302216e-06,0.0013923851144003,"DS"
"26","MaUS1",24.5370203,4.0984e-06,3.33145e-06,0,9.266e-07,9.266e-07,1.1e-09,8.429e-07,0,0.00624901010428581,2.07204133820085e-07,2.23574578225216e-05,0.00631821548260935,2.25048121212912e-05,1.31702905288156e-05,4.46146373266464e-06,2.59807621135332e-08,0.00825914907615577,1.8233144839947e-07,3.74618415206844e-05,0.00831786771185815,3.76238394624655e-05,1.35696270412075e-05,2.26700444654743e-06,2.57142857142857e-08,0.025947004550817,1.28647334664726e-07,4.68359689895433e-05,0.0260549813197492,4.69314953485642e-05,3.76062068533718e-05,1.21327060142121e-06,1.27827498141228e-08,0.0245154472025996,1.13707492872258e-07,4.22183051244885e-05,0.0246152294271756,4.2304793619216e-05,3.47950036777568e-05,1.46277322199481e-06,1.27388535031847e-08,"S1"
"27","MeDS",20.02967274,0.0050156695,NA,5.39715e-05,0.004962014,0.0050156695,4.895e-08,8.091035e-05,0.004881621,0,1.50501938022627e-05,0.0033584016312638,0.00337345182506607,0.00337345182506607,1.75376210999465e-05,0.000130379547210499,0.00319018335873528,0,1.3187751208961e-05,0.00353635480394646,0.00354954255515542,0.00354954255515542,1.88550166552151e-05,6.73313353297416e-05,0.00342671808763481,0,9.71635542157049e-06,0.0683563719491115,0.0683660883045331,0.0683660883045331,4.30636820874085e-05,5.32042204101345e-05,0.0682497051971932,0,8.64357690889642e-06,0.0757138777781617,0.0757225213550705,0.0757225213550705,4.18386460843423e-05,5.32405423247801e-05,0.075610630091584,"DS"
"28","MeUS1",18.16983629,0.010706682,NA,3.645e-08,0.010706646,0.010706682,5.94e-08,0.0096598782,0.001059836,0,2.74301866624404e-07,0.000554019100301354,0.000554293402167978,0.000554293402167978,1.66070050840594e-05,0.000101567358186127,0.000433326888102344,0,2.15864461210827e-07,0.000615086226815299,0.00061530209127651,0.00061530209127651,1.73029610753343e-05,6.0585930102906e-05,0.000534346868347339,0,2.22695264079537e-07,0.00956434468030811,0.00956456737557219,0.00956456737557219,5.5170937305977e-05,5.80792837974988e-05,0.00944584878326052,0,1.95716241653398e-07,0.0105807830012506,0.0105809787174922,0.0105809787174922,5.41729158142608e-05,5.77850608403178e-05,0.0104651940722151,"S1"
"29","MuDS",32.55664739,0.001891558,4.97754e-05,0.000382242,0.0009910765,0.001787044,1.03e-08,4.89877e-05,0.000921828,0.0100210849722383,5.04045940316189e-05,0.000962579735075746,0.0116150714966707,0.000999297508337031,3.03801472408548e-05,2.37080774748731e-05,0.000649222641099398,0.0125602609939895,4.5279216528323e-05,0.00100574211770531,0.0139268519157814,0.00106168337145824,3.67820492034031e-05,1.63427012372071e-05,0.000661762404569442,0.0444950354394555,3.56574199181084e-05,0.0113664231371886,0.0560337828327058,0.0114289397933701,0.000106415166644571,1.25331635186787e-05,0.0108800577657383,0.0396188506405974,3.24657826527109e-05,0.0123956342110984,0.0528736771699495,0.0124517045575798,8.78803261833461e-05,9.44619298536218e-06,0.0120503267838637,"DS"
"30","MuUS1",35.07492419,0.0001509475,3.61895e-06,0,0.000134717,0.000134717,0,3.6355e-07,0.000134516,0.00178402357060351,5.30333743041386e-08,8.46258371684375e-06,0.00221623996133049,8.56373495725988e-06,1.5969669204121e-07,3.58942896375559e-06,2.72905471012706e-06,0.00237515447616544,4.41810803435962e-08,2.57164658569093e-05,0.003058138312841,2.57551523581914e-05,4.14102499958306e-07,1.05436656602711e-06,2.35294117647059e-05,0.00730691075052795,3.08934741379168e-08,2.74020543039476e-06,0.00828059822495069,2.77013736607113e-06,5.05881599224076e-07,5.66547461919654e-07,2.2429110756118e-08,0.00692276052970018,2.56368631368631e-08,2.21254060888822e-06,0.00892224802463512,2.23721593356355e-06,4.05152793760389e-07,1.27819680148522e-06,2.2407162600649e-08,"S1"
"31","NiDS",37.75280045,0.000196462,NA,5.264995e-05,0.0001438195,0.000196462,5e-11,2.806e-07,0.0001435385,0,1.40628135471749e-05,0.000101000736856577,0.000115063550403752,0.000115063550403752,1.36975995948159e-05,1.45650453674537e-06,8.20261724443517e-05,0,1.11724813456139e-05,0.00011502449541601,0.000126196976761624,0.000126196976761624,1.56063973853145e-05,1.72564252336449e-06,9.40187336821521e-05,0,0.000570286330300992,0.00124044761447123,0.00181073394477223,0.00181073394477223,2.30348816905084e-05,1.32940452201926e-06,0.00121034604788312,0,0.000569644406336584,0.00136063564125886,0.00193028004759544,0.00193028004759544,1.57737473816506e-05,6.88000800008477e-07,0.00134025767564683,"DS"
"32","NiUS1",39.41474525,8.78537e-05,NA,0,8.78537e-05,8.78537e-05,0,1.535e-08,8.7838e-05,0,3.00500263740239e-07,3.04658164340496e-06,3.3470819071452e-06,3.3470819071452e-06,0,4.21213471549869e-07,8.09214846146395e-07,0,2.59034255188224e-07,1.82518455167606e-05,1.85108797719488e-05,1.85108797719488e-05,0,4.90639097744361e-07,1.57051316526611e-05,0,2.50689853403198e-07,4.18325684530507e-06,4.43394669870827e-06,4.43394669870827e-06,0,3.70186162066375e-07,2.93044284652131e-08,0,2.26066780819315e-07,2.84242928319687e-06,3.06849606401619e-06,3.06849606401619e-06,0,1.94102319290289e-07,2.92793448589627e-08,"S1"
