Tab EcoImpact comparison of MP-derived TUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Stamm, 16.11.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This file is a compilation of two data sources: ""spear_median_sumTU_msPAF.csv"" (rows B - AI) and ""3_DATA_MPs_TU_metasubstance_VER02_161114.csv"" (rows AJ - BC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explanations about the contents of both files and the abbreviations are provided in: README_ToxicUnits_2017.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Site_loc,SPEAR,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM_med,median_sumTU_Oth_med,median_sumTU_PB_med,median_sumTU_all_med,median_sumTU_org_med,median_sumTU_F_med,median_sumTU_H_med,median_sumTU_I_med,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,median_sumTU_F.DM_gm,median_sumTU_H.DM_gm,median_sumTU_I.DM_gm,median_sumTU_HM.DM_med,median_sumTU_Oth.DM_med,median_sumTU_PB.DM_med,median_sumTU_all.DM_med,median_sumTU_org.DM_med,median_sumTU_F.DM_med,median_sumTU_H.DM_med,median_sumTU_I.DM_med,loc,Site,Location,TUs,TU_avg_nonPest_MS1,TU_avg_Pest_MS1,TU_avg_nonPest_MS2,TU_avg_Pest_MS2,TU_avg_other_MS3,TU_avg_Pesticide_MS3,TU_avg_Pharma_MS3,TU_avg_Metals_MS4,TU_avg_Other_MS4,TU_avg_Pesticides_MS4,TU_avg_Pharma_MS4,TU_avg_Fungicide_MS5,TU_avg_Herbicide_MS5,TU_avg_Insecticide_MS5,TU_avg_Other_MS5,TU_avg_Pharma_MS5
31,NiDS,37.75280045,0,1.41E-05,0.000101001,0.000115064,0.000115064,1.37E-05,1.46E-06,8.20E-05,0,1.12E-05,0.000115024,0.000126197,0.000126197,1.56E-05,1.73E-06,9.40E-05,0,0.000570286,0.001240448,0.001810734,0.001810734,2.30E-05,1.33E-06,0.001210346,0,0.000569644,0.001360636,0.00193028,0.00193028,1.58E-05,6.88E-07,0.001340258,DS,NIE,D,0.004475715,0.003252622,0.00124108,0.003234635,0.001223094,0.00258043,0.001223094,0.000672192,NA,0.00258043,0.001223094,0.000672192,2.88E-05,1.96E-06,0.001210346,0.002562444,0.000672192
32,NiUS1,39.41474525,0,3.01E-07,3.05E-06,3.35E-06,3.35E-06,0,4.21E-07,8.09E-07,0,2.59E-07,1.83E-05,1.85E-05,1.85E-05,0,4.91E-07,1.57E-05,0,2.51E-07,4.18E-06,4.43E-06,4.43E-06,0,3.70E-07,2.93E-08,0,2.26E-07,2.84E-06,3.07E-06,3.07E-06,0,1.94E-07,2.93E-08,S1,NIE,U1,7.70E-05,0.000076865,4.34E-06,7.27E-05,1.82E-07,7.68E-05,1.82E-07,3.83E-08,NA,7.68E-05,1.82E-07,3.83E-08,3.78E-06,5.31E-07,2.93E-08,7.27E-05,3.83E-08
33,ReDS,15.99300392,0.007147651,4.40E-05,9.16E-05,0.007556898,0.000129804,5.70E-06,1.35E-05,6.71E-05,0.008833864,3.91E-05,9.76E-05,0.009241513,0.000130025,9.91E-06,8.89E-06,7.78E-05,0.029884127,3.11E-05,0.001507921,0.039200673,0.001531342,3.64E-05,6.51E-06,0.001469346,0.027117051,2.80E-05,0.001667281,0.036137904,0.001688189,2.10E-05,5.38E-06,0.001627911,DS,REI,D,0.050688102,0.047208104,0.00352568,0.047162423,0.003479999,0.046263991,0.003479999,0.000944112,0.03804958,0.008214411,0.003479999,0.000944112,5.57E-05,1.55E-05,0.003454501,0.04621831,0.000944112
34,ReUS1,18.69920778,0.003630828,3.84E-07,7.90E-06,0.003635984,8.59E-06,4.96E-07,5.11E-06,0,0.004474759,3.49E-07,4.57E-06,0.004477539,6.08E-06,1.13E-06,2.42E-06,0,0.014443761,2.23E-07,6.35E-06,0.014448182,6.94E-06,3.76E-06,2.10E-06,0,0.013492886,2.00E-07,5.15E-06,0.013496374,5.69E-06,2.07E-06,2.33E-06,0,S1,REI,U1,0.017772741,0.017557465,0.000220768,0.017551973,0.000215276,0.01755745,0.000215276,1.49E-08,0.017397687,0.000159763,0.000215276,1.49E-08,8.03E-06,2.83E-06,0.000209907,0.017551958,1.49E-08
35,RomDS,30.73757409,0,2.15E-05,0.000145878,0.000167352,0.000167352,5.83E-05,5.19E-06,6.03E-05,0,1.79E-05,0.000154881,0.000172788,0.000172788,5.96E-05,4.51E-06,6.53E-05,0,0.000435574,0.001400478,0.001836052,0.001836052,7.09E-05,3.89E-06,0.001311991,0,0.000433982,0.001531008,0.00196499,0.00196499,6.31E-05,3.95E-06,0.001453566,DS,ROM,D,0.006212971,0.00483545,0.001401097,0.004811874,0.001377521,0.004318675,0.001377521,0.000516775,NA,0.004318675,0.001377521,0.000516775,8.46E-05,4.51E-06,0.001311991,0.004295099,0.000516775
36,RomUS1,34.61677595,0,2.75E-06,3.17E-05,3.44E-05,3.44E-05,6.47E-06,2.85E-06,2.15E-05,0,2.40E-06,3.24E-05,3.48E-05,3.48E-05,6.85E-06,2.00E-06,2.25E-05,0,2.41E-06,0.000484497,0.000486911,0.000486911,8.85E-06,1.52E-06,0.000472317,0,2.06E-06,0.000533579,0.000535635,0.000535635,7.40E-06,1.65E-06,0.000523284,S1,ROM,U1,0.001792427,0.001312868,0.000485038,0.001307389,0.000479559,0.001312101,0.000479559,7.67E-07,NA,0.001312101,0.000479559,7.67E-07,1.07E-05,1.85E-06,0.000472533,0.001306622,7.67E-07
37,RotDS,47.47604207,0,4.40E-06,5.19E-06,9.59E-06,9.59E-06,1.93E-06,9.62E-07,6.93E-08,0,3.64E-06,5.34E-06,8.98E-06,8.98E-06,1.85E-06,8.94E-07,6.86E-08,0,0.000119324,6.95E-06,0.000126277,0.000126277,1.51E-06,7.20E-07,8.00E-08,0,0.000119081,5.25E-06,0.000124336,0.000124336,1.45E-06,5.15E-07,8.00E-08,DS,ROT,D,0.000798406,0.000796621,7.22E-06,0.000791186,1.79E-06,0.00063987,1.79E-06,0.00015675,NA,0.00063987,1.79E-06,0.00015675,6.15E-06,9.87E-07,0.00000008,0.000634436,0.00015675
38,RotUS1,49.59962202,0,3.43E-07,1.47E-06,1.81E-06,1.81E-06,0,7.47E-07,2.25E-08,0,3.20E-07,1.50E-06,1.82E-06,1.82E-06,0,6.88E-07,2.23E-08,0,2.54E-07,2.04E-06,2.29E-06,2.29E-06,0,5.51E-07,2.60E-08,0,2.39E-07,1.44E-06,1.67E-06,1.67E-06,0,3.97E-07,2.60E-08,S1,ROT,U1,0.000172823,0.000172625,2.23E-06,0.000170595,1.98E-07,0.000169452,1.98E-07,3.17E-06,NA,0.000169452,1.98E-07,3.17E-06,1.46E-06,7.40E-07,0.000000026,0.000167423,3.17E-06
39,SeDS,28.36566105,0,7.98E-06,0.000161071,0.000169055,0.000169055,1.38E-05,5.41E-05,8.76E-05,0,7.63E-06,0.000221277,0.000228902,0.000228902,1.33E-05,5.00E-05,0.000152619,0,4.96E-06,0.000553354,0.000558311,0.000558311,1.42E-05,4.81E-05,0.000482456,0,4.72E-06,0.000586887,0.000591609,0.000591609,1.30E-05,4.71E-05,0.000520935,DS,SEV,D,0.003125253,0.002583899,0.000554763,0.00257049,0.000541354,0.002524535,0.000541354,5.94E-05,NA,0.002524535,0.000541354,5.94E-05,2.31E-05,4.92E-05,0.000482456,0.002511126,5.94E-05
40,SeUS1,31.03962115,0,8.27E-07,9.45E-05,9.54E-05,9.54E-05,1.03E-05,6.29E-05,1.72E-05,0,7.35E-07,9.90E-05,9.98E-05,9.98E-05,1.05E-05,5.83E-05,2.64E-05,0,6.63E-07,0.000468396,0.000469059,0.000469059,3.94E-05,5.59E-05,0.000367426,0,6.07E-07,0.000503565,0.000504171,0.000504171,3.87E-05,5.39E-05,0.000407068,S1,SEV,U1,0.00080687,0.000347628,0.000469687,0.000337182,0.000459242,0.000347499,0.000459242,1.29E-07,NA,0.000347499,0.000459242,1.29E-07,4.54E-05,5.69E-05,0.000367468,0.000337053,1.29E-07
41,UnDS,20.26063269,0.012887915,5.19E-05,0.000358138,0.013369877,0.000421704,1.84E-05,2.29E-05,0.000316807,0.015671308,4.25E-05,0.000402432,0.016191786,0.000441898,3.30E-05,2.21E-05,0.00035247,0.056089699,3.85E-05,0.003181615,0.058882288,0.003220066,9.12E-05,1.78E-05,0.002958669,0.048967489,3.44E-05,0.003417483,0.051919314,0.003451882,5.39E-05,1.24E-05,0.003273518,DS,UNT,D,0.070184782,0.061758233,0.008570295,0.061614487,0.008426549,0.061050866,0.008426549,0.000707366,0.052179177,0.00887169,0.008426549,0.000707366,0.000198098,8.09E-05,0.0082913,0.06090712,0.000707366
42,UnUS1,25.38579045,0.006744247,6.92E-07,2.29E-05,0.006780043,2.38E-05,5.92E-06,9.59E-06,1.94E-06,0.008265844,6.48E-07,4.30E-05,0.008446449,4.34E-05,1.13E-05,7.94E-06,2.77E-05,0.026752522,5.75E-07,3.90E-05,0.026792477,3.97E-05,3.21E-05,6.09E-06,7.62E-08,0.024435985,5.48E-07,2.34E-05,0.024469014,2.41E-05,1.91E-05,4.29E-06,7.60E-08,S1,UNT,U1,0.030737197,0.030486032,0.000274728,0.030462469,0.000251165,0.030486028,0.000251165,3.70E-09,0.030089846,0.000396183,0.000251165,3.70E-09,4.51E-05,2.95E-05,0.000200092,0.030462466,3.70E-09
43,VaDS,26.88089288,0.012065855,8.69E-05,0.000678113,0.012866861,0.000785835,4.66E-06,2.95E-05,0.000548606,0.013315738,7.16E-05,0.000706247,0.014128244,0.000812506,9.26E-06,2.64E-05,0.000581959,0.053020337,8.99E-05,0.003109799,0.05766626,0.004042065,2.55E-05,2.07E-05,0.003076723,0.045725164,8.10E-05,0.003421211,0.049923301,0.004316816,1.50E-05,1.53E-05,0.003401406,DS,VAL,D,0.07549851,0.067294956,0.008264546,0.067233965,0.008203555,0.066707114,0.008203555,0.000587842,0.052835369,0.013871745,0.008203555,0.000587842,4.97E-05,0.000226047,0.007988793,0.066646123,0.000587842
44,VaUS1,22.23544423,0.005479841,2.68E-06,1.17E-05,0.00549187,1.42E-05,8.37E-08,5.65E-06,6.86E-06,0.006513369,2.38E-06,0.000121443,0.006653254,0.000123713,8.43E-08,3.65E-06,0.000117647,0.023731801,1.77E-06,2.89E-06,0.023734358,4.86E-06,8.30E-08,2.41E-06,6.35E-08,0.020930797,1.58E-06,2.01E-06,0.020932551,3.98E-06,8.26E-08,1.87E-06,6.32E-08,S1,VAL,U1,0.028320815,0.028186272,0.000148772,0.028172043,0.000134543,0.028168407,0.000134543,1.79E-05,0.027458307,0.0007101,0.000134543,1.79E-05,1.09E-05,5.03E-05,8.75E-05,0.028154177,1.79E-05
45,ViDS,33.88810683,0.007107252,2.39E-05,4.67E-05,0.007240838,7.07E-05,6.84E-07,4.08E-06,2.15E-05,0.009048783,2.16E-05,4.94E-05,0.009174014,7.05E-05,2.00E-06,3.07E-06,2.25E-05,0.030435058,1.96E-05,0.000495045,0.031174246,0.000726196,6.93E-06,2.52E-06,0.000472289,0.027567084,1.78E-05,0.000539443,0.028346346,0.000769195,3.78E-06,2.77E-06,0.000523256,DS,VIL,D,0.033327849,0.032831773,0.000509125,0.032818724,0.000496076,0.032675126,0.000496076,0.000156647,0.028852148,0.003822978,0.000496076,0.000156647,1.08E-05,3.13E-06,0.000495169,0.032662077,0.000156647
46,ViUS1,32.89671535,0.002975661,4.53E-07,1.83E-06,0.002977468,2.23E-06,0,1.83E-06,0,0.00340877,4.12E-07,1.02E-06,0.003409711,1.33E-06,0,1.02E-06,0,0.012437117,2.89E-07,8.63E-07,0.012437892,1.08E-06,0,8.63E-07,0,0.011105147,2.62E-07,1.68E-06,0.011106762,1.89E-06,0,1.57E-06,0,S1,VIL,U1,0.015191533,0.01519096,4.82E-06,0.015186716,5.73E-07,0.015187317,5.73E-07,3.64E-06,0.015089242,9.81E-05,5.73E-07,3.64E-06,3.79E-06,1.03E-06,8.00E-10,0.015183073,3.64E-06
47,ZuDS,34.48562987,0.011786635,2.00E-05,5.34E-05,0.011839751,7.47E-05,5.83E-07,3.37E-06,4.11E-05,0.01503403,1.65E-05,5.51E-05,0.015076347,7.20E-05,1.96E-06,2.58E-06,4.15E-05,0.050937483,1.55E-05,0.000723768,0.05139877,0.000987215,7.12E-06,2.07E-06,0.000700791,0.046184904,1.38E-05,0.000884412,0.046782679,0.001146164,3.86E-06,1.48E-06,0.000870698,DS,ZUL,D,0.058478802,0.055758821,0.002734279,0.055744524,0.002719982,0.055599397,0.002719982,0.000159424,0.053766881,0.001832516,0.002719982,0.000159424,1.29E-05,2.36E-06,0.002719051,0.055585099,0.000159424
48,ZuUS1,38.23399265,0.006598519,7.39E-07,4.24E-06,0.006612121,5.33E-06,1.73E-07,1.64E-06,0,0.008289338,6.90E-07,4.76E-06,0.008303356,5.73E-06,5.80E-07,1.03E-06,0,0.027547768,3.20E-07,7.18E-06,0.027566988,7.78E-06,2.11E-06,8.54E-07,0,0.025224914,2.73E-07,4.52E-06,0.02523677,5.05E-06,1.14E-06,6.01E-07,0,S1,ZUL,U1,0.024532642,0.024200067,0.000339665,0.024192977,0.000332575,0.024199824,0.000332575,2.43E-07,0.024084509,0.000115315,0.000332575,2.43E-07,5.78E-06,0.0000015,0.000332387,0.024192734,2.43E-07
