"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2558.91035251279,1679.43579191037,1.52367263151038,0.145976397123364
"log1p(Feeding_3_U1)",-1.80650866548094,0.844880628280775,-2.13818213486201,0.0473181774145399
"Year",-1.27072932145373,0.834059898006039,-1.52354683937164,0.146007651167525
