"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2082.10455119698,1013.34510002127,-2.05468457996518,0.055612564025604
"log1p(Feeding_3_U2)",0.173089255271166,0.660665367932589,0.261992324212197,0.796475482590931
"Year",1.03394879570093,0.503215228282281,2.05468502857178,0.0556125161145195
