"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2007.24070794006,962.69794814535,-2.0850160861016,0.0524575363977254
"log1p(Food_3_U2)",0.162580963010814,0.629900251675954,0.258105886730861,0.799423912484722
"Year",0.996774858465503,0.478137180831688,2.08470476345654,0.0524890749513873
