"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2024.86757134523,1638.85206534072,1.23554017727906,0.233432082611506
"log1p(Food_3_U1)",-1.79235460802825,0.817281579980227,-2.19306864602481,0.0424999268279731
"Year",-1.00556731583952,0.813957199762317,-1.23540564065672,0.233480871389572
