Year,Site,Location,Cond,pH,Alkal,Hard,Na,K,Ca,Mg,NH4,NO2,NO3,TN,SRP,TP,Ch,S,TOC,DOC,Silica,SS
2014,BIR,U2,481.88,8.242,5.287,2.754,10.889,5.798,73.598,17.3,6.74,2.44,1.47,1.94,7.72,18.86,16.56,10.67,3.13,2.75,8.05,6
2014,ELG,D,561.64,8.244,5.813,3.074,18.389,2.758,77.901,25.07,116.44,41.04,3.68,3.96,73.12,96.22,26.94,11.22,2.73,2.42,9.43,3.55
2014,ELG,U1,507.88,8.304,5.859,3.075,6.864,1.312,78.055,25.55,12.32,5.3,2.53,2.71,16.02,29.72,12.11,7.08,2.43,2.05,9.09,4.05
2014,ELG,U2,508.34,8.32,5.844,3.077,7.491,1.341,77.419,25.54,13.16,6.2,2.47,2.55,15.16,29.94,14.23,7.14,2.24,2.1,9.05,3.95
2014,ELL,D,628.22,8.114,5.784,3.333,21.866,3.774,94.188,21.84,47.72,44.7,5.33,5.58,68.64,91.34,38.21,24.62,2.71,2.47,12.27,5.28
2014,ELL,U1,568.82,8.154,5.773,3.32,10.308,2.32,92,22.69,17.7,10.12,4.67,5.02,6.96,20.52,20.24,22.97,2.44,2.12,11.94,3.65
2014,ELL,U2,571.56,8.154,5.825,3.337,10.224,1.838,92,22.6,12.96,9.44,4.69,4.88,5.94,15.4,20.34,23.08,2.41,2.14,12.03,3.2
2014,KNO,D,570.54,8.16,5.527,3.017,18.647,4.587,100.485,9.14,125.16,13.06,5.1,5.55,47.84,76.92,27.2,14.8,2.95,2.66,11.02,4.89
2014,KNO,U1,496.2,8.118,5.435,2.883,7.648,3.205,94.665,8.5,12.84,4.76,3.21,3.42,7.24,20.18,11.54,9.25,2.77,2.34,10.15,3.05
2014,KNO,U2,492.8,8.128,5.417,2.868,7.573,3.222,94.227,8.5,10.06,4.7,3.21,3.4,5.58,18.46,11.85,9.18,2.49,2.26,10.16,3.15
2014,MAR,D,635.38,8.178,5.86,3.574,14.892,3.913,103.261,21.35,22.26,16.74,6.8,6.95,70.36,114.12,29.62,35.82,4.02,3.78,13.8,5.5
2014,MAR,U1,609.56,8.188,6.032,3.556,9.323,2.597,103.913,22.14,17.06,10.28,4.4,4.73,6.26,21.46,22.58,35.52,4.04,3.66,13.46,6.55
2014,MAR,U2,609.6,8.186,6.036,3.57,9.025,2.441,102.075,21.91,15.88,8.62,4.43,4.58,4.18,15.58,22.86,35.75,4,3.69,13.42,6.7
2014,MUR,D,551.42,8.156,5.011,2.686,25.206,6.672,81.682,12.1,9.42,3.96,3.7,3.87,86.3,111.04,33.6,19.47,2.89,2.63,11.52,1.9
