"Year","Site","Location","TUs","TU_avg_Metals_MS4","TU_avg_Fungicide_MS5","TU_avg_Herbicide_MS5","TU_avg_Insecticide_MS5","TU_avg_Other_MS5","TU_avg_Pharma_MS5"
2014,"REI","D",0.050688102,0.03804958,5.57e-05,1.55e-05,0.003454501,0.04621831,0.000944112
2014,"REI","U1",0.017772741,0.017397687,8.03e-06,2.83e-06,0.000209907,0.017551958,1.49e-08
2014,"REI","U2",0.017772741,0.017397687,8.03e-06,2.83e-06,0.000209907,0.017551958,1.49e-08
2014,"UNT","D",0.070184782,0.052179177,0.000198098,8.09e-05,0.0082913,0.06090712,0.000707366
2014,"UNT","U1",0.030737197,0.030089846,4.51e-05,2.95e-05,0.000200092,0.030462466,3.7e-09
2014,"UNT","U2",0.030737197,0.030089846,4.51e-05,2.95e-05,0.000200092,0.030462466,3.7e-09
2014,"VAL","D",0.07549851,0.052835369,4.97e-05,0.000226047,0.007988793,0.066646123,0.000587842
2014,"VAL","U1",0.028320815,0.027458307,1.09e-05,5.03e-05,8.75e-05,0.028154177,1.79e-05
2014,"VAL","U2",0.028320815,0.027458307,1.09e-05,5.03e-05,8.75e-05,0.028154177,1.79e-05
2014,"VIL","D",0.033327849,0.028852148,1.08e-05,3.13e-06,0.000495169,0.032662077,0.000156647
2014,"VIL","U1",0.015191533,0.015089242,3.79e-06,1.03e-06,8e-10,0.015183073,3.64e-06
2014,"VIL","U2",0.015191533,0.015089242,3.79e-06,1.03e-06,8e-10,0.015183073,3.64e-06
2014,"ZUL","D",0.058478802,0.053766881,1.29e-05,2.36e-06,0.002719051,0.055585099,0.000159424
2014,"ZUL","U1",0.024532642,0.024084509,5.78e-06,1.5e-06,0.000332387,0.024192734,2.43e-07
2014,"ZUL","U2",0.024532642,0.024084509,5.78e-06,1.5e-06,0.000332387,0.024192734,2.43e-07
