Year ,Site,Location,SPEAR,median_msPAFraMix_all,median_msPAFraMix_HM,median_msPAFraMix_Oth,median_msPAFraMix_PB,median_msPAFraMix_org,median_msPAFraMix_F,median_msPAFraMix_H,median_msPAFraMix_I,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM_med,median_sumTU_Oth_med,median_sumTU_PB_med,median_sumTU_all_med,median_sumTU_org_med,median_sumTU_F_med,median_sumTU_H_med,median_sumTU_I_med,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,median_sumTU_F.DM_gm,median_sumTU_H.DM_gm,median_sumTU_I.DM_gm,median_sumTU_HM.DM_med,median_sumTU_Oth.DM_med,median_sumTU_PB.DM_med,median_sumTU_all.DM_med,median_sumTU_org.DM_med,median_sumTU_F.DM_med,median_sumTU_H.DM_med,median_sumTU_I.DM_med
2014,ELL,D,35.0022536,0.000648048,2.65E-05,0.000226369,0.000410029,0.000573886,4.10E-09,2.67E-05,0.00040611,0.010545144,4.53E-05,0.00019599,0.010960925,0.000234635,1.12E-05,1.82E-05,0.00017022,0.013741968,3.81E-05,0.000221969,0.01418581,0.000255274,2.11E-05,1.51E-05,0.000202769,0.044695943,3.66E-05,0.001308651,0.047440561,0.001338496,8.62E-05,1.18E-05,0.001138138,0.041294528,3.23E-05,0.00140732,0.044129469,0.0014577,6.50E-05,1.03E-05,0.001255448
2014,ELL,U1,32.01732319,0.000348937,6.58E-06,0,0.000334932,0.000335216,0,4.34E-06,0.000288995,0.006184992,2.44E-07,1.53E-05,0.006200736,1.57E-05,3.92E-06,8.68E-06,3.65E-06,0.007735887,2.28E-07,7.66E-05,0.007800911,7.67E-05,5.94E-06,4.76E-06,6.88E-05,0.025389112,2.25E-07,1.71E-05,0.025406591,1.75E-05,1.37E-05,3.39E-06,3.38E-08,0.023664062,2.16E-07,1.32E-05,0.023677606,1.35E-05,8.69E-06,5.00E-06,3.37E-08
2014,ELG,D,39.1906648,0.000341859,2.49E-05,0.000182221,8.72E-05,0.000323015,5.00E-11,9.64E-06,7.75E-05,0.008274555,2.73E-05,9.04E-05,0.008398434,0.000123879,1.25E-06,1.44E-05,5.08E-05,0.010653751,2.38E-05,9.15E-05,0.010776183,0.000111296,3.94E-06,1.33E-05,6.44E-05,0.035558838,2.03E-05,0.000731656,0.036606388,0.00092866,1.41E-05,1.03E-05,0.000697401,0.032538543,1.82E-05,0.000792115,0.03364437,0.001016815,7.67E-06,6.88E-06,0.000770941
2014,ELG,U1,46.54743772,4.55E-05,1.06E-05,5.84E-07,3.68E-05,3.74E-05,0,7.73E-07,3.02E-05,0.003382851,3.42E-07,1.44E-05,0.003387379,1.46E-05,0,4.07E-06,5.93E-07,0.004109773,2.98E-07,2.48E-05,0.00412302,2.51E-05,0,1.42E-06,1.18E-05,0.013734104,2.68E-07,8.40E-07,0.013734971,1.14E-06,0,8.00E-07,5.48E-09,0.012672496,2.34E-07,2.00E-06,0.01267419,2.26E-06,0,2.00E-06,5.46E-09
2013,HER,D,30.39975462,0.000934873,NA,0.000297383,0.000637666,0.000934873,3.65E-09,4.19E-05,0.000595804,0,5.48E-05,0.000606015,0.000660838,0.000660838,8.34E-06,2.33E-05,0.000530375,0,4.66E-05,0.000626964,0.000673544,0.000673544,2.10E-05,2.13E-05,0.000534864,0,0.00078072,0.008519304,0.009300025,0.009300025,6.89E-05,1.69E-05,0.008408948,0,0.000777248,0.009382484,0.010159732,0.010159732,3.84E-05,1.15E-05,0.00931368
2013,HER,U1,37.25752766,2.37E-05,NA,1.40E-09,2.37E-05,2.37E-05,5.00E-10,2.37E-05,0,0,2.18E-06,2.80E-05,3.02E-05,3.02E-05,2.85E-06,1.48E-05,3.70E-08,0,1.90E-06,3.46E-05,3.65E-05,3.65E-05,7.08E-06,1.58E-05,3.66E-08,0,1.40E-06,5.72E-05,5.86E-05,5.86E-05,2.31E-05,1.26E-05,4.27E-08,0,1.22E-06,3.60E-05,3.72E-05,3.72E-05,1.30E-05,8.13E-06,4.27E-08
2013,HOC,D,27.79810682,0.000199188,NA,0.000114121,8.51E-05,0.000199188,1.00E-10,1.24E-05,7.27E-05,0,3.80E-05,0.000170597,0.000208641,0.000208641,5.20E-06,2.70E-05,9.84E-05,0,3.37E-05,0.000170129,0.000203786,0.000203786,8.60E-06,1.19E-05,0.000104151,0,0.000355017,0.001474079,0.001829096,0.001829096,2.19E-05,8.48E-06,0.001421048,0,0.000352994,0.00161245,0.001965444,0.001965444,1.34E-05,8.13E-06,0.001573544
2013,HOC,U1,34.78184597,7.97E-05,NA,3.00E-10,7.97E-05,7.97E-05,0,1.12E-05,6.86E-05,0,8.47E-06,3.76E-05,4.61E-05,4.61E-05,2.63E-06,2.31E-05,1.04E-05,0,7.28E-06,3.32E-05,4.05E-05,4.05E-05,4.12E-06,6.22E-06,2.12E-05,0,7.66E-06,0.000226399,0.000234062,0.000234062,1.01E-05,3.19E-06,0.000210101,0,6.95E-06,0.000244893,0.000251845,0.000251845,6.28E-06,3.77E-06,0.000232753
2013,HOR,D,36.18748516,0.000339791,NA,6.54E-05,0.000274381,0.000339791,6.17E-08,6.25E-05,0.000211809,0,1.28E-05,0.000379269,0.000392088,0.000392088,0.000125886,7.28E-05,0.000180632,0,9.82E-06,0.000383023,0.000392844,0.000392844,0.000123064,7.51E-05,0.000184867,0,0.000569267,0.002476415,0.003045681,0.003045681,0.000137906,0.000125092,0.002213416,0,0.0005685,0.002756368,0.003324868,0.003324868,0.000128132,0.000177941,0.002450295
2013,HOR,U1,35.07463518,5.82E-05,NA,6.34E-08,5.81E-05,5.82E-05,0,1.30E-06,5.68E-05,0,3.70E-07,1.43E-05,1.47E-05,1.47E-05,8.64E-07,5.95E-06,5.10E-07,0,3.15E-07,2.25E-05,2.28E-05,2.28E-05,8.44E-07,3.87E-06,9.82E-06,0,2.12E-07,1.79E-05,1.82E-05,1.82E-05,9.19E-07,2.39E-06,2.32E-08,0,1.87E-07,1.25E-05,1.27E-05,1.27E-05,8.37E-07,1.57E-06,2.32E-08
