"","V1","V2","V3"
"Location","D","effluent","U1"
"Total"," 8.943404","32.019193"," 3.055110"
"Metal","13.371688","33.865625"," 6.709729"
"Fungicide","0.09260500","0.09679667","0.02599917"
"Herbicide","0.3475525","0.1321658","0.1793942"
"Insecticide","0.02666500","0.02810083","0.00569750"
"Pharmaceutical","1.76843417","9.97181250","0.05445917"
"Other","1.3594725","8.2440667","0.1056683"
