"","V1","V2","V3","V4","V5","V6"
"Location","D","D","effluent","effluent","U1","U1"
"Year","2013","2014","2013","2014","2013","2014"
"Total"," 2.905871","17.999704","18.888375","51.715419"," 0.458475"," 6.950062"
"Metal",NA,"13.371688",NA,"33.865625",NA," 6.709729"
"Fungicide","0.10379167","0.07582500","0.07055833","0.13615417","0.02078333","0.03382292"
"Herbicide","0.43403333","0.21783125","0.07536667","0.21736458","0.22916250","0.10474167"
"Insecticide","0.032875000","0.017350000","0.014650000","0.048277083","0.007983333","0.002268750"
"Pharmaceutical"," 1.40945000"," 2.30691042","10.55371667"," 9.09895625"," 0.07389167"," 0.02531042"
"Other","0.92572083","2.01010000","8.17408333","8.34904167","0.12665417","0.07418958"
