"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2474.86318656409,1006.9892474501,-2.45768581226754,0.0250185887077822
"log1p(Gammarid_U2)",0.369051258275399,0.307431872200793,1.20043265401695,0.246432421996297
"Year",1.22891974668733,0.500087062476163,2.45741159669755,0.0250325660391942
