"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2202.09874381623,1826.63787615126,1.20554751030131,0.244504630416099
"log1p(Gammarid_U1)",-0.521176359901199,0.490294339224765,-1.0629866963695,0.302655464894353
"Year",-1.09398899325772,0.907194143578444,-1.2059039412914,0.244370722606212
