"","Estimate","Std. Error","t value","pvals"
"(Intercept)",-130.806148480211,1197.10233399448,-0.109268977902448,0.913631527430285
"Year",0.06466745668007,0.594546157417249,0.108767764913308,0.914026087611837
"Gammarid:ConstrastD_U1",-0.0979761558950345,0.0809850908189804,-1.20980485301959,0.234698441568269
"Gammarid:ConstrastU1_U2",0.0967250593534739,0.113518673643569,0.852062980027192,0.400141272359376
