"","Estimate","Std. Error","t value","pvals"
"(Intercept)",-20.4169117699853,1137.47682710113,-0.0179492990833211,0.985784220828405
"Year",0.0102764333407986,0.564937782692876,0.0181903807031886,0.985593306602146
"Feeding_3:ConstrastD_U1",-0.875700056171582,0.284562499837318,-3.07735578887666,0.00410941896988809
"Feeding_3:ConstrastU1_U2",-0.330694574060221,0.328832059295911,-1.00566403035123,0.321681120533867
