"","2.5 %","97.5 %"
".sig01",0,0.985874921319168
".sigma",1.12821780892353,1.82077950671253
"(Intercept)",-1953.34080631088,1814.71094751579
"Year",-0.901263054497432,0.97016461766401
"Feeding_3:ConstrastD_U1",-1.26703880017543,-0.237062014810015
"Feeding_3:ConstrastU1_U2",-0.780854646945776,0.427783051429981
