ARA_NR,Year,Site,Location,CA,p_Crop,p_Orchard,p_Pasture,p_Forested,p_Urban,p_Built,p_Agri
108300,2013,BUT,D,1673.7171,46.01974383,0.109483677,33.76771551,15.0563079,8.125626487,2.001414703,79.89694302
108300,2013,BUT,U1,1673.7171,46.01974383,0.109483677,33.76771551,15.0563079,8.125626487,2.001414703,79.89694302
108300,2013,BUT,U2,1673.7171,46.01974383,0.109483677,33.76771551,15.0563079,8.125626487,2.001414703,79.89694302
563000,2013,COL,D,763.1295,45.29734797,1.570117568,4.790744305,9.4348338,7.600282783,1.183234376,51.65820984
563000,2013,COL,U1,763.1295,45.29734797,1.570117568,4.790744305,9.4348338,7.600282783,1.183234376,51.65820984
563000,2013,COL,U2,763.1295,45.29734797,1.570117568,4.790744305,9.4348338,7.600282783,1.183234376,51.65820984
11301,2013,DUR,D,1086.8417,21.585446,0.213555653,42.99920361,11.3171955,19.7820897,3.022617752,64.79820526
11301,2013,DUR,U1,1086.8417,21.585446,0.213555653,42.99920361,11.3171955,19.7820897,3.022617752,64.79820526
11301,2013,DUR,U2,1086.8417,21.585446,0.213555653,42.99920361,11.3171955,19.7820897,3.022617752,64.79820526
300102,2013,HER,D,3989.6089,0.010402022,0.004158503,52.20851947,29.1005968,12.4072312,2.894923136,52.22308
300102,2013,HER,U1,3989.6089,0.010402022,0.004158503,52.20851947,29.1005968,12.4072312,2.894923136,52.22308
300102,2013,HER,U2,3989.6089,0.010402022,0.004158503,52.20851947,29.1005968,12.4072312,2.894923136,52.22308
103100,2013,HOC,D,4946.0994,38.39861597,1.083682214,35.26601133,14.21322022,10.27071959,2.122105937,74.74830951
103100,2013,HOC,U1,4946.0994,38.39861597,1.083682214,35.26601133,14.21322022,10.27071959,2.122105937,74.74830951
103100,2013,HOC,U2,4946.0994,38.39861597,1.083682214,35.26601133,14.21322022,10.27071959,2.122105937,74.74830951
