"","Response","family","link","method","Marginal","Conditional"
"1","Kdd_alder","gaussian","identity","none",0.228940655641237,0.565582253577281
"2","Gammaridae","gaussian","identity","none",0.290330441505564,0.518887587399196
"3","SRP","gaussian","identity","none",0.43579443776065,0.673326435819365
"4","Insecticide_TUs","gaussian","identity","none",0.495040783569673,0.667328822165018
"5","NonInsecticide_TUs","gaussian","identity","none",0.608819959566141,0.755453289854761
"6","DIN","gaussian","identity","none",0.789035350316877,0.895454535904591
