"Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
2013,"DUR","DS","3_D","coarse","oak","S",1,42,7.10238095238095,298.3,3.52,2.88,0.200670695462151,0.00477787370147979,0.000672714366282773
2013,"DUR","DS","3_D","coarse","oak","S",3,42,7.10238095238095,298.3,3.52,2.87,0.204148959838476,0.00486068951996371,0.000684374655844706
2013,"DUR","DS","3_D","coarse","oak","M",4,42,7.10238095238095,298.3,3.52,2.81,0.225276506264351,0.00536372633962741,0.000755201160792327
2013,"DUR","DS","3_D","coarse","oak","S",2,42,7.10238095238095,298.3,3.52,2.66,0.280134866816398,0.00666987778134281,0.00093910448144954
2013,"DUR","DS","3_D","coarse","oak","S",5,42,7.10238095238095,298.3,3.52,2.9,0.193750252617577,0.00461310125279946,0.000649514759026408
2013,"DUR","DS","3_D","coarse","oak","S",6,42,7.10238095238095,298.3,3.52,2.9,0.193750252617577,0.00461310125279946,0.000649514759026407
2013,"DUR","US1","2_U1","coarse","oak","I",3,42,6.59523809523809,277,3.52,2.9,0.193750252617577,0.00461310125279946,0.000699459395731326
2013,"DUR","US1","2_U1","coarse","oak","S",1,42,6.59523809523809,277,3.52,2.9,0.193750252617577,0.00461310125279946,0.000699459395731326
2013,"DUR","US1","2_U1","coarse","oak","S",2,42,6.59523809523809,277,3.52,2.86,0.207639364778244,0.00494379439948201,0.000749600594867308
2013,"DUR","US1","2_U1","coarse","oak","I",5,42,6.59523809523809,277,3.52,2.76,0.243230309880947,0.00579119785430827,0.000878087761303058
2013,"DUR","US1","2_U1","coarse","oak","S",6,42,6.59523809523809,277,3.52,2.76,0.243230309880947,0.00579119785430827,0.000878087761303058
2013,"DUR","US1","2_U1","coarse","oak","M",4,42,6.59523809523809,277,3.52,2.76,0.243230309880947,0.00579119785430827,0.000878087761303058
2013,"DUR","US2","1_U2","coarse","oak","S",1,42,6.83809523809524,287.2,3.52,2.71,0.261512354718396,0.00622648463615229,0.000910558338155976
2013,"DUR","US2","1_U2","coarse","oak","S",2,42,6.83809523809524,287.2,3.52,2.73,0.254159380413137,0.00605141381936041,0.000884956059934322
2013,"DUR","US2","1_U2","coarse","oak","S",3,42,6.83809523809524,287.2,3.52,2.87,0.204148959838476,0.00486068951996371,0.000710825069075473
2013,"DUR","US2","1_U2","coarse","oak","S",6,42,6.83809523809524,287.2,3.52,2.81,0.225276506264351,0.00536372633962741,0.00078438894938841
2013,"DUR","US2","1_U2","coarse","oak","S",4,42,6.83809523809524,287.2,3.52,2.82,0.221724104659983,0.00527914534904722,0.000772019863022226
2013,"DUR","US2","1_U2","coarse","oak","S",5,42,6.83809523809524,287.2,3.52,2.59,0.306803113898559,0.0073048360452038,0.00106825596761337
2013,"HER","DS","3_D","coarse","oak","S",1,42,7.03095238095238,295.3,3.52,2.7,0.265209216599722,0.00631450515713624,0.000898100970537495
2013,"HER","DS","3_D","coarse","oak","S",5,42,7.03095238095238,295.3,3.52,3,0.159848700941896,0.00380592145099752,0.000541309518936322
2013,"HER","DS","3_D","coarse","oak","S",6,42,7.03095238095238,295.3,3.52,2.93,0.18345856658103,0.00436806110907214,0.000621261654524314
2013,"HER","DS","3_D","coarse","oak","S",2,42,7.03095238095238,295.3,3.52,2.82,0.221724104659983,0.00527914534904722,0.000750843564713794
