"Year","Site_code","Location","AFDM","nbsp","sing.sp","qual.FRic","FRic","FEve","FDiv","FDis","RaoQ","FGR"
2013,"BUT","D",2.71666666666667,4.33333333333333,4.33333333333333,0.322692896994291,0.190765610972364,0.745043209363287,0.764471087412471,7.21574533085338,58.1983671917586,3.5
2013,"BUT","U1",2.64666666666667,4.5,4.5,0.322692896994291,0.271492256298415,0.680607592262378,0.722582568818459,7.00701709351979,59.0201547491401,4
2013,"BUT","U2",2.725,4.16666666666667,4.16666666666667,0.322692896994291,0.253730279679501,0.717168067727703,0.586418697691675,6.51971067289476,57.7380095517194,4.16666666666667
2013,"COL","D",3.105,2,2,0.322692896994291,0,0,0,3.70617415933095,26.9184017211251,2
2013,"COL","U1",2.81666666666667,3,3,0.322692896994291,0.14618961002952,0.602079209259718,0.751615295756479,4.44643230966843,34.4466378292514,2.66666666666667
2013,"COL","U2",2.88833333333333,3.16666666666667,3.16666666666667,0.322692896994291,0.251820447637731,0.518156164943184,0.760032843204763,3.5550635585376,28.2314805891467,3
2013,"DUR","D",2.828,4,4,0.322692896994291,0.178992955653905,0.690896408292524,0.715555691926027,5.08069375151373,39.0940476919262,3.2
2013,"DUR","U1",2.83,3,3,0.322692896994291,0.118743690704181,0.530217415370485,0.881691587007356,3.85147640101057,29.9799757835635,2.5
2013,"DUR","U2",2.755,2.33333333333333,2.33333333333333,0.322692896994291,0.0712054490733277,0.30154823949138,0.994362849536109,0.804228127987954,5.68940067878397,2.16666666666667
2013,"HER","D",2.792,4.8,4.8,0.322692896994291,0.211270636393261,0.663871470119347,0.773576289789435,4.07296674029943,34.0142534763153,4
2013,"HER","U1",2.9025,4.5,4.5,0.322692896994291,0.296486710038108,0.704162428051279,0.689379140063721,6.35094678245735,53.6596034989985,3.5
2013,"HER","U2",2.8,3.66666666666667,3.66666666666667,0.322692896994291,0.0999497997143403,0.70930946400043,0.88988131209776,5.85145300560556,43.7428547559268,3
2013,"HOC","D",2.83,3.66666666666667,3.66666666666667,0.322692896994291,0.155320509934521,0.501577441464447,0.722432822731516,5.28281418324142,43.7479874938286,2.83333333333333
2013,"HOC","U1",2.76,3.16666666666667,3.16666666666667,0.322692896994291,0.236620306728974,0.67959526102432,0.720138074218318,5.02630012695362,41.9481826841246,3
2013,"HOC","U2",2.745,4.5,4.5,0.322692896994291,0.218673574124967,0.504797687036968,0.73925686150946,5.5275410611374,43.8011012445889,3.5
2013,"HOR","D",2.765,3.5,3.5,0.322692896994291,0.190457984775207,0.620850717388791,0.781106838337695,4.38786596485034,31.3249906462965,3.25
2013,"HOR","U1",2.70833333333333,4.5,4.5,0.322692896994291,0.277284653011748,0.525199396975677,0.749552743542519,4.24855595302902,33.3486795728972,3.66666666666667
2013,"HOR","U2",2.74666666666667,4.5,4.5,0.322692896994291,0.197672584078532,0.740756316481069,0.71457415084588,5.50286314231603,44.433211207104,3.5
2013,"KER","D",2.884,4.2,4.2,0.322692896994291,0.239184345730476,0.596720223331226,0.680455169883435,5.46590030567236,44.7140905514506,3
2013,"KER","U1",2.95833333333333,3.66666666666667,3.66666666666667,0.322692896994291,0.187597033201339,0.657075465543693,0.696851854937817,6.42719600797454,52.0987239383317,3.33333333333333
2013,"KER","U2",2.75,3.5,3.5,0.322692896994291,0.149506850819476,0.348683692948358,0.894409372499905,3.59384667868983,27.0552654517727,3
2013,"MES","D",3.04166666666667,4.33333333333333,4.33333333333333,0.322692896994291,0.21649832019159,0.45607905534504,0.724422822372038,4.75997916697186,37.9200742343715,3.33333333333333
2013,"MES","U1",3.10833333333333,4,4,0.322692896994291,0.189941844500767,0.486318609182289,0.749364357722832,5.05077634088135,41.61169623571,3
2013,"MES","U2",2.985,3.66666666666667,3.66666666666667,0.322692896994291,0.13699023181383,0.399284287324839,0.817622888680966,2.77923589260155,21.1412658318286,3
2013,"NIE","D",2.466,3.6,3.6,0.322692896994291,0.107799184431726,0.552092178721947,0.922477092417699,3.84240553384667,30.3495280844103,2.8
2013,"NIE","U1",2.49,2.83333333333333,2.83333333333333,0.322692896994291,0.111958897694755,0.380574976340879,0.900000314880625,2.1229806057492,16.532471686493,2.5
2013,"NIE","U2",2.66666666666667,3.5,3.5,0.322692896994291,0.130708947189625,0.520547193684267,0.927975625901236,5.67485854000022,45.5824486071264,3
2013,"ROM","D",2.955,3.5,3.5,0.322692896994291,0.195383994217255,0.588208640336127,0.872827703260314,4.69295168292827,36.3952875524207,3
2013,"ROM","U1",2.97,2.4,2.4,0.322692896994291,0.160839185349998,0.735017174092668,0.900345046087806,2.85824598656438,22.334089851205,2
2013,"ROM","U2",2.925,3.16666666666667,3.16666666666667,0.322692896994291,0.19233363933964,0.358690616727886,0.828977458914048,2.83854601004452,21.9642389096543,2.83333333333333
2013,"ROT","D",3.08,3.83333333333333,3.83333333333333,0.322692896994291,0.202329163390365,0.534317738653422,0.730533064383487,5.25735217559083,38.0519958063886,3.16666666666667
2013,"ROT","U1",3.016,3.4,3.4,0.322692896994291,0.106757854622113,0.56179451708335,0.773409346959416,4.49613235537523,33.7444145220246,3
2013,"ROT","U2",2.425,2.5,2.5,0.322692896994291,0.0805706897193188,0.666983521427282,0.88121462528518,4.23292801471387,27.5911468811063,2
2013,"SEV","D",2.99833333333333,3.33333333333333,3.33333333333333,0.322692896994291,0.209370680340986,0.524822582455427,0.894670411159045,3.7626424622998,28.3143438859907,2.83333333333333
