"Year","Site_code","Location","Mesh","Leaf","Rep","ID","AFDM","nbsp","sing.sp","qual.FRic","FRic","FEve","FDiv","FDis","RaoQ","FGR"
2013,"BUT","D","Coarse","Alder",1,13,0.97,5,5,0.330457792267978,0.244185447656302,0.788157962703346,0.4649337606942,6.30905882953396,51.2596696441163,4
2013,"BUT","D","Coarse","Alder",2,14,1.07,3,3,0.330457792267978,0.0807656335844043,0.960046966510436,0.689148697588549,7.96291078036913,64.0219945937466,3
2013,"BUT","D","Coarse","Alder",3,15,1.45,4,4,0.330457792267978,0.238733911489609,0.747028475445798,0.73452175771549,7.40721586458042,60.4889332248836,4
2013,"BUT","D","Coarse","Alder",4,16,1.3,5,5,0.330457792267978,0.229610462843231,0.54671577030115,0.39731733516489,6.6227886511317,59.6295208780668,5
2013,"BUT","D","Coarse","Alder",5,17,0.86,2,2,0.330457792267978,NA,NA,NA,6.80047756959975,48.1734324735723,2
2013,"BUT","D","Coarse","Alder",6,18,0.79,4,4,0.330457792267978,0.238733911489609,0.78118323465442,0.850328379302185,7.98538125094648,65.0404953086987,4
2013,"BUT","U1","Coarse","Alder",1,37,1.05,4,4,0.330457792267978,0.138270023523823,0.567108230007639,0.977705091731606,3.31625635606095,25.5565378129687,3
2013,"BUT","U1","Coarse","Alder",2,38,0.53,2,2,0.330457792267978,NA,NA,NA,7.08383080166641,50.1806588266378,2
2013,"BUT","U1","Coarse","Alder",3,39,1.33,5,5,0.330457792267978,0.305870027419645,0.73727417900287,0.683713112054855,5.05736097261028,40.7270437025842,4
2013,"BUT","U1","Coarse","Alder",4,40,0.29,3,3,0.330457792267978,0.229610462843231,0.316588211063488,0.776250169635118,4.67165074923131,41.9888796068881,3
2013,"BUT","U1","Coarse","Alder",5,41,1.42,3,3,0.330457792267978,0.10843737954796,0.381013479804815,0.689794555557681,4.72537662780761,36.6867762974971,3
2013,"BUT","U1","Coarse","Alder",6,42,1.38,4,4,0.330457792267978,0.271917020844885,0.674811171937282,0.924887280843812,6.20622895792024,51.0186302892837,4
2013,"BUT","U2","Coarse","Alder",1,61,0.16,2,2,0.330457792267978,NA,NA,NA,6.61665526203405,49.2526427136782,2
2013,"BUT","U2","Coarse","Alder",2,62,0.13,4,4,0.330457792267978,0.160294821559847,0.728378604502018,0.881270728692292,7.13522107711229,59.9710524332671,3
2013,"BUT","U2","Coarse","Alder",3,63,1.35,2,2,0.330457792267978,NA,NA,NA,0.832689593531377,5.5527537730634,2
2013,"BUT","U2","Coarse","Alder",4,64,1.08,4,4,0.330457792267978,0.171686316611154,0.427087640650139,0.802082407800225,4.98915224319221,42.8310368016654,4
2013,"BUT","U2","Coarse","Alder",5,65,0.48,3,3,0.330457792267978,0.109945818618591,0.951469418192426,0.480965074476156,5.92978407425679,47.4828966105359,3
2013,"BUT","U2","Coarse","Alder",6,66,0.38,3,3,0.330457792267978,0.0807656335844043,0.982219742611552,0.723715229156828,8.09594664560117,65.6875562735663,3
2013,"COL","D","Coarse","Alder",1,85,2.39,3,3,0.330457792267978,0.10843737954796,0.0712038140656439,0.627465181075016,0.979487027894757,7.46162273387846,3
2013,"COL","D","Coarse","Alder",2,86,2.33,3,3,0.330457792267978,0.10843737954796,0.071203813984857,0.627465181059423,0.979487026803344,7.4616227255242,3
2013,"COL","D","Coarse","Alder",3,87,1.33,3,3,0.330457792267978,0.10843737954796,0.742659570343976,0.757771441577909,7.0921977952879,53.3392690733093,3
2013,"COL","D","Coarse","Alder",4,88,2.57,2,2,0.330457792267978,NA,NA,NA,5.71809714042273,42.5640122246249,2
2013,"COL","D","Coarse","Alder",5,89,2.09,3,3,0.330457792267978,0.219712288888543,0.0895172349396562,0.984732402047872,1.41329398052135,11.7890923954666,3
2013,"COL","D","Coarse","Alder",6,90,1.99,2,2,0.330457792267978,NA,NA,NA,2.65826179263603,19.7874021128729,2
2013,"COL","U1","Coarse","Alder",1,109,1.96,2,2,0.330457792267978,NA,NA,NA,7.09745028030917,52.8315544622618,2
2013,"COL","U1","Coarse","Alder",2,110,2.31,4,4,0.330457792267978,0.10843737954796,0.577106806212612,0.751149350135863,3.79155049604392,30.1438440153943,4
2013,"COL","U1","Coarse","Alder",3,111,2.08,2,2,0.330457792267978,NA,NA,NA,0.512760924890205,3.41932357805583,2
2013,"COL","U1","Coarse","Alder",4,112,2.25,3,3,0.330457792267978,0.109945818618591,0.960231722591975,0.348282701475164,1.63068081838787,12.7957262267284,3
2013,"COL","U1","Coarse","Alder",6,114,1.4,3,3,0.330457792267978,0.10843737954796,0.38815458249587,0.691607940770765,4.79535429791653,37.326387642718,3
2013,"COL","U2","Coarse","Alder",1,133,1.36,3,3,0.330457792267978,0.10843737954796,0.560663873869864,0.731527525948659,6.327047891998,50.0641519558176,3
2013,"COL","U2","Coarse","Alder",2,134,2.22,3,3,0.330457792267978,0.0199774397487559,0.149537498553796,0.990689494478239,2.0069450296688,15.6101796828518,3
2013,"COL","U2","Coarse","Alder",3,135,2.29,3,3,0.330457792267978,0.10843737954796,0.164554336757349,0.645986868231144,2.20724773489858,16.9233982051596,3
2013,"COL","U2","Coarse","Alder",4,136,1.87,3,3,0.330457792267978,0.10843737954796,0.429276920607188,0.697729428800901,5.18600728051772,39.5363784255625,3
2013,"COL","U2","Coarse","Alder",5,137,1.24,3,3,0.330457792267978,0.10843737954796,0.525281886838717,0.728482605983004,6.12777800969164,48.4155635980601,3
2013,"COL","U2","Coarse","Alder",6,138,1.39,1,1,0.330457792267978,NA,NA,NA,0,0,1
