"","x"
"1",0.362633323275674
"2",0.128046335565978
"3",0.115110460682295
"4",0.107060296562887
"5",0.079312218405375
"6",0.0775476196704034
"7",0.0470820674520978
"8",0.0423256038552798
"9",0.0280052556689517
"10",0.0047039011437859
"11",0.0031975733532596
"12",0.00180199105460176
"13",0.00166594444195756
"14",0.00150740886745224
