"","x"
"1",0.358878742463713
"2",0.124958860447036
"3",0.107230912153284
"4",0.0928963696214416
"5",0.0911935860955869
"6",0.0616815319931155
"7",0.0412431305465533
"8",0.0373743472512146
"9",0.0333642366292883
"10",0.0288896837206487
"11",0.0110505982493168
"12",0.00901585385155786
"13",0.0012930251709702
"14",0.00092912180627263
