"Year","Site","Location","SPEAR","median_msPAFraMix_all","median_msPAFraMix_HM","median_msPAFraMix_Oth","median_msPAFraMix_PB","median_msPAFraMix_org","median_msPAFraMix_F","median_msPAFraMix_H","median_msPAFraMix_I","median_sumTU_HM_gm","median_sumTU_Oth_gm","median_sumTU_PB_gm","median_sumTU_all_gm","median_sumTU_org_gm","median_sumTU_F_gm","median_sumTU_H_gm","median_sumTU_I_gm","median_sumTU_HM_med","median_sumTU_Oth_med","median_sumTU_PB_med","median_sumTU_all_med","median_sumTU_org_med","median_sumTU_F_med","median_sumTU_H_med","median_sumTU_I_med","median_sumTU_HM.DM_gm","median_sumTU_Oth.DM_gm","median_sumTU_PB.DM_gm","median_sumTU_all.DM_gm","median_sumTU_org.DM_gm","median_sumTU_F.DM_gm","median_sumTU_H.DM_gm","median_sumTU_I.DM_gm","median_sumTU_HM.DM_med","median_sumTU_Oth.DM_med","median_sumTU_PB.DM_med","median_sumTU_all.DM_med","median_sumTU_org.DM_med","median_sumTU_F.DM_med","median_sumTU_H.DM_med","median_sumTU_I.DM_med"
2013,"HER","U1",37.25752766,2.37e-05,NA,1.4e-09,2.37e-05,2.37e-05,5e-10,2.37e-05,0,0,2.18e-06,2.8e-05,3.02e-05,3.02e-05,2.85e-06,1.48e-05,3.7e-08,0,1.9e-06,3.46e-05,3.65e-05,3.65e-05,7.08e-06,1.58e-05,3.66e-08,0,1.4e-06,5.72e-05,5.86e-05,5.86e-05,2.31e-05,1.26e-05,4.27e-08,0,1.22e-06,3.6e-05,3.72e-05,3.72e-05,1.3e-05,8.13e-06,4.27e-08
2013,"HER","U2",37.25752766,2.37e-05,NA,1.4e-09,2.37e-05,2.37e-05,5e-10,2.37e-05,0,0,2.18e-06,2.8e-05,3.02e-05,3.02e-05,2.85e-06,1.48e-05,3.7e-08,0,1.9e-06,3.46e-05,3.65e-05,3.65e-05,7.08e-06,1.58e-05,3.66e-08,0,1.4e-06,5.72e-05,5.86e-05,5.86e-05,2.31e-05,1.26e-05,4.27e-08,0,1.22e-06,3.6e-05,3.72e-05,3.72e-05,1.3e-05,8.13e-06,4.27e-08
2013,"HOC","D",27.79810682,0.000199188,NA,0.000114121,8.51e-05,0.000199188,1e-10,1.24e-05,7.27e-05,0,3.8e-05,0.000170597,0.000208641,0.000208641,5.2e-06,2.7e-05,9.84e-05,0,3.37e-05,0.000170129,0.000203786,0.000203786,8.6e-06,1.19e-05,0.000104151,0,0.000355017,0.001474079,0.001829096,0.001829096,2.19e-05,8.48e-06,0.001421048,0,0.000352994,0.00161245,0.001965444,0.001965444,1.34e-05,8.13e-06,0.001573544
2013,"HOC","U1",34.78184597,7.97e-05,NA,3e-10,7.97e-05,7.97e-05,0,1.12e-05,6.86e-05,0,8.47e-06,3.76e-05,4.61e-05,4.61e-05,2.63e-06,2.31e-05,1.04e-05,0,7.28e-06,3.32e-05,4.05e-05,4.05e-05,4.12e-06,6.22e-06,2.12e-05,0,7.66e-06,0.000226399,0.000234062,0.000234062,1.01e-05,3.19e-06,0.000210101,0,6.95e-06,0.000244893,0.000251845,0.000251845,6.28e-06,3.77e-06,0.000232753
2013,"HOC","U2",34.78184597,7.97e-05,NA,3e-10,7.97e-05,7.97e-05,0,1.12e-05,6.86e-05,0,8.47e-06,3.76e-05,4.61e-05,4.61e-05,2.63e-06,2.31e-05,1.04e-05,0,7.28e-06,3.32e-05,4.05e-05,4.05e-05,4.12e-06,6.22e-06,2.12e-05,0,7.66e-06,0.000226399,0.000234062,0.000234062,1.01e-05,3.19e-06,0.000210101,0,6.95e-06,0.000244893,0.000251845,0.000251845,6.28e-06,3.77e-06,0.000232753
2013,"HOR","D",36.18748516,0.000339791,NA,6.54e-05,0.000274381,0.000339791,6.17e-08,6.25e-05,0.000211809,0,1.28e-05,0.000379269,0.000392088,0.000392088,0.000125886,7.28e-05,0.000180632,0,9.82e-06,0.000383023,0.000392844,0.000392844,0.000123064,7.51e-05,0.000184867,0,0.000569267,0.002476415,0.003045681,0.003045681,0.000137906,0.000125092,0.002213416,0,0.0005685,0.002756368,0.003324868,0.003324868,0.000128132,0.000177941,0.002450295
2013,"HOR","U1",35.07463518,5.82e-05,NA,6.34e-08,5.81e-05,5.82e-05,0,1.3e-06,5.68e-05,0,3.7e-07,1.43e-05,1.47e-05,1.47e-05,8.64e-07,5.95e-06,5.1e-07,0,3.15e-07,2.25e-05,2.28e-05,2.28e-05,8.44e-07,3.87e-06,9.82e-06,0,2.12e-07,1.79e-05,1.82e-05,1.82e-05,9.19e-07,2.39e-06,2.32e-08,0,1.87e-07,1.25e-05,1.27e-05,1.27e-05,8.37e-07,1.57e-06,2.32e-08
2013,"HOR","U2",35.07463518,5.82e-05,NA,6.34e-08,5.81e-05,5.82e-05,0,1.3e-06,5.68e-05,0,3.7e-07,1.43e-05,1.47e-05,1.47e-05,8.64e-07,5.95e-06,5.1e-07,0,3.15e-07,2.25e-05,2.28e-05,2.28e-05,8.44e-07,3.87e-06,9.82e-06,0,2.12e-07,1.79e-05,1.82e-05,1.82e-05,9.19e-07,2.39e-06,2.32e-08,0,1.87e-07,1.25e-05,1.27e-05,1.27e-05,8.37e-07,1.57e-06,2.32e-08
2013,"KER","D",19.77033214,0.001483445,NA,0.000293669,0.001190125,0.001483445,9.78e-07,1.05e-05,0.001175798,0,6.01e-05,0.000763701,0.0008238,0.0008238,8.98e-05,7.62e-05,0.000535326,0,5.17e-05,0.000929118,0.000980821,0.000980821,0.000152314,6.17e-05,0.000644967,0,0.000616631,0.008872961,0.009489592,0.009489592,3.34e-05,8.26e-05,0.008723746,0,0.000612807,0.009796885,0.010409692,0.010409692,2.82e-05,8.08e-05,0.00966234
2013,"KER","U1",23.5023227,0.000542127,NA,1e-10,0.000542127,0.000542127,3.52e-07,2.58e-06,0.00053841,0,1.83e-06,0.000138831,0.00014066,0.00014066,5.38e-05,6.47e-05,2.03e-05,0,1.44e-06,0.000284309,0.000285751,0.000285751,9.01e-05,6.09e-05,0.000133322,0,1.56e-06,0.000107035,0.000108592,0.000108592,1.79e-05,8.88e-05,2.68e-07,0,1.12e-06,0.000102806,0.000103923,0.000103923,1.41e-05,8.85e-05,2.12e-07
