Year,Site,Location,Total_TU_mu,Total_TU_med,Total_TU_max,Metal_TU_mu,Metal_TU_med,Metal_TU_max,Fung_TU_mu,Herb_TU_mu,Insect_TU_mu,Other_TU_mu,Pharma_TU_mu,Fung_TU_med,Herb_TU_med,Insect_TU_med,Other_TU_med,Pharma_TU_med,Fung_TU_max,Herb_TU_max,Insect_TU_max,Other_TU_max,Pharma_TU_max,median_sumTU_HM_gm,median_sumTU_Oth_gm,median_sumTU_PB_gm,median_sumTU_all_gm,median_sumTU_org_gm,median_sumTU_F_gm,median_sumTU_H_gm,median_sumTU_I_gm,median_sumTU_HM.DM_gm,median_sumTU_Oth.DM_gm,median_sumTU_PB.DM_gm,median_sumTU_all.DM_gm,median_sumTU_org.DM_gm,maxTU_HM,maxTU_Oth,maxTU_PB
2013,HOC,D,0.015056742,0.015056742,0.023016398,NA,NA,NA,4.46E-05,1.08E-05,0.001421048,0.013008995,0.000571346,4.46E-05,1.08E-05,0.001421048,0.013008995,0.000571346,7.64E-05,1.75E-05,0.002317141,0.022461773,0.001129764,NA,3.80E-05,0.000170597,0.000208641,0.000208641,5.20E-06,2.70E-05,9.84E-05,NA,0.000355017,0.001474079,0.001829096,0.001829096,NA,4.80E-05,0.000308306
2013,HOC,U1,0.003824846,0.003824846,0.006747707,NA,NA,NA,1.31E-05,5.51E-06,0.000210101,0.003585648,1.05E-05,1.31E-05,5.51E-06,0.000210101,0.003585648,1.05E-05,2.36E-05,8.55E-06,0.000419895,0.00674226,2.09E-05,NA,8.47E-06,3.76E-05,4.61E-05,4.61E-05,2.63E-06,2.31E-05,1.04E-05,NA,7.66E-06,0.000226399,0.000234062,0.000234062,NA,1.53E-05,6.72E-05
2013,HOC,U2,0.003824846,0.003824846,0.006747707,NA,NA,NA,1.31E-05,5.51E-06,0.000210101,0.003585648,1.05E-05,1.31E-05,5.51E-06,0.000210101,0.003585648,1.05E-05,2.36E-05,8.55E-06,0.000419895,0.00674226,2.09E-05,NA,8.47E-06,3.76E-05,4.61E-05,4.61E-05,2.63E-06,2.31E-05,1.04E-05,NA,7.66E-06,0.000226399,0.000234062,0.000234062,NA,1.53E-05,6.72E-05
2013,HOR,D,0.004862081,0.004862081,0.008227041,NA,NA,NA,0.000243251,0.000125631,0.002213746,0.001612922,0.000666531,0.000243251,0.000125631,0.002213746,0.001612922,0.000666531,0.000486502,0.000250497,0.004427482,0.001733863,0.001328698,NA,1.28E-05,0.000379269,0.000392088,0.000392088,0.000125886,7.28E-05,0.000180632,NA,0.000569267,0.002476415,0.003045681,0.003045681,NA,1.71E-05,0.000755927
2013,HOR,U1,1.94E-05,1.94E-05,3.85E-05,NA,NA,NA,1.57E-05,2.87E-06,1.17E-07,9.40E-08,6.17E-07,1.57E-05,2.87E-06,1.17E-07,9.40E-08,6.17E-07,3.13E-05,5.66E-06,2.25E-07,1.24E-07,1.23E-06,NA,3.70E-07,1.43E-05,1.47E-05,1.47E-05,8.64E-07,5.95E-06,5.10E-07,NA,2.12E-07,1.79E-05,1.82E-05,1.82E-05,NA,5.90E-07,2.69E-05
2013,HOR,U2,1.94E-05,1.94E-05,3.85E-05,NA,NA,NA,1.57E-05,2.87E-06,1.17E-07,9.40E-08,6.17E-07,1.57E-05,2.87E-06,1.17E-07,9.40E-08,6.17E-07,3.13E-05,5.66E-06,2.25E-07,1.24E-07,1.23E-06,NA,3.70E-07,1.43E-05,1.47E-05,1.47E-05,8.64E-07,5.95E-06,5.10E-07,NA,2.12E-07,1.79E-05,1.82E-05,1.82E-05,NA,5.90E-07,2.69E-05
2013,KER,D,0.019730626,0.019730626,0.028968862,NA,NA,NA,6.70E-05,8.62E-05,0.00872403,0.009862869,0.000990518,6.70E-05,8.62E-05,0.00872403,0.009862869,0.000990518,0.000111827,0.000168506,0.016818084,0.009916537,0.001953908,NA,6.01E-05,0.000763701,0.0008238,0.0008238,8.98E-05,7.62E-05,0.000535326,NA,0.000616631,0.008872961,0.009489592,0.009489592,NA,7.18E-05,0.001458794
2013,KER,U1,0.000481964,0.000481964,0.000668687,NA,NA,NA,1.82E-05,9.10E-05,5.03E-07,0.000367629,4.71E-06,1.82E-05,9.10E-05,5.03E-07,0.000367629,4.71E-06,2.95E-05,0.000179449,8.96E-07,0.000449382,9.41E-06,NA,1.83E-06,0.000138831,0.00014066,0.00014066,5.38E-05,6.47E-05,2.03E-05,NA,1.56E-06,0.000107035,0.000108592,0.000108592,NA,3.08E-06,0.000257906
2013,KER,U2,0.000481964,0.000481964,0.000668687,NA,NA,NA,1.82E-05,9.10E-05,5.03E-07,0.000367629,4.71E-06,1.82E-05,9.10E-05,5.03E-07,0.000367629,4.71E-06,2.95E-05,0.000179449,8.96E-07,0.000449382,9.41E-06,NA,1.83E-06,0.000138831,0.00014066,0.00014066,5.38E-05,6.47E-05,2.03E-05,NA,1.56E-06,0.000107035,0.000108592,0.000108592,NA,3.08E-06,0.000257906
2013,MES,D,0.070389181,0.070389181,0.139398522,NA,NA,NA,5.48E-05,5.72E-05,0.068250428,0.001916005,0.00011076,5.48E-05,5.72E-05,0.068250428,0.001916005,0.00011076,0.000106001,0.000113445,0.136500769,0.002462159,0.000216148,NA,1.51E-05,0.003358402,0.003373452,0.003373452,1.75E-05,0.00013038,0.003190183,NA,9.72E-06,0.068356372,0.068366088,0.068366088,NA,2.12E-05,0.00670149
